name,hp,average_price,age,converted_retreat_cost,pokedex_nr,type,damage,converted_energy_cost,resistance,weakness
Victini,70,0.3,4572,1,494,6,100,2.0,70,140
Team Magma's Zangoose,70,2.3,7388,1,335,1,5,1.5,70,140
Jellicent,100,0.38,3487,3,593,11,25,1.5,100,200
Team Magma's Lairon,90,1.73,3347,3,305,5,45,2.5,90,180
Staryu,60,0.06,4488,1,120,11,5,0.5,60,120
Riolu,50,0.24,5743,1,447,5,10,1.0,50,60
Charizard & Braixen-GX,270,10.86,1665,3,6,6,90,2.0,270,540
Torkoal,110,0.04,2421,3,324,6,60,2.5,110,220
Camerupt,80,0.45,6962,2,323,6,30,2.5,80,160
Charmeleon,90,0.11,2483,2,5,6,50,2.5,90,180
Blaziken,100,1.32,6597,2,257,6,35,2.0,100,200
Lilligant,90,0.22,4649,1,549,7,40,2.0,110,180
Steenee,80,0.07,1378,1,762,7,20,1.0,80,160
Treecko,60,0.12,2029,1,252,7,0,0.0,60,120
Light Lanturn,80,5.44,8120,2,171,8,15,1.0,80,160
Solrock,70,1.08,6686,1,338,5,0,0.0,70,140
Turtwig,60,0.4,5743,2,387,7,15,0.5,80,70
Vibrava,80,1.07,7486,1,329,1,0,0.0,110,160
Claydol,80,0.78,6962,2,344,5,30,2.0,80,160
Pansear,60,0.19,3760,1,513,6,20,1.5,60,120
Litwick,60,0.02,4124,1,607,6,20,1.0,60,120
Ledian,70,0.5,7143,1,166,7,35,2.5,70,140
Pikachu,60,1.03,3305,1,25,8,15,1.0,80,120
Camerupt,130,0.18,3032,4,323,6,55,2.5,130,260
Wartortle,90,0.11,1938,2,8,11,50,2.5,90,180
Pikachu,40,5.56,6870,1,25,8,20,1.5,40,80
Tsareena,150,0.21,1378,2,763,7,50,1.0,150,300
Magneton,70,36.0,7682,2,82,9,25,2.5,100,140
Vulpix,70,0.07,1567,1,37,6,20,1.0,70,140
Typhlosion,110,5.83,6140,2,157,6,60,3.0,110,140
Alolan Vulpix,60,1.7,2575,1,37,11,10,1.0,60,120
Tepig,60,0.12,4215,1,498,6,15,1.5,60,120
Rillaboom V,220,1.36,1651,3,812,7,110,2.0,220,440
Lapras,100,1.14,4488,2,131,11,20,1.0,100,200
Pignite,100,2.48,3851,3,499,6,45,2.5,100,200
Buizel,60,0.04,3669,1,418,11,10,1.5,60,120
Aerodactyl,80,1.94,5866,1,142,1,30,2.0,100,100
Barbaracle,100,0.1,2943,3,689,11,70,3.0,100,200
Latias,70,11.33,7540,2,380,1,15,1.5,70,140
Combusken,70,0.8,6962,1,256,6,30,2.5,70,140
Electrode,80,3.48,8855,1,101,8,50,3.0,80,160
Mightyena δ,70,4.2,6779,1,262,2,15,2.0,100,140
Dark Charizard,80,33.28,8795,3,6,6,30,1.5,110,160
Tirtouga,90,0.26,3935,3,564,11,30,3.0,90,180
Alolan Ninetales-GX,210,2.52,2575,1,38,11,53,1.0,210,420
Grumpig,80,0.73,6505,2,326,10,10,3.0,80,160
Clefable,70,4.66,9108,2,36,1,0,0.0,100,140
Tyranitar,140,5.05,6140,4,248,2,60,3.0,160,170
Wimpod,70,0.05,1378,3,767,7,10,1.0,70,140
Brock's Golem,90,8.61,8683,4,76,5,35,3.5,90,180
Cleffa,50,0.74,6870,1,173,1,0,0.0,50,100
Houndoom,90,0.64,5956,1,229,2,30,1.5,110,110
Giovanni's Pinsir,70,9.12,8620,2,127,7,25,2.5,70,140
Gossifleur,50,0.08,1567,1,829,7,5,0.5,50,100
Ho-Oh-EX,160,4.76,4299,2,250,6,20,3.0,180,320
Victini-EX,110,3.95,3851,1,494,6,25,1.5,110,220
Umbreon,80,187.37,8392,1,197,2,10,1.0,110,80
Skiddo,70,0.03,1287,1,672,7,25,1.5,70,140
Hariyama,110,0.48,5314,4,297,5,55,3.5,110,140
Slowking,80,11.79,8559,3,199,10,20,3.0,80,160
White Kyurem,130,1.04,2943,3,646,11,85,2.5,130,260
Grovyle δ,70,1.79,6505,1,253,10,25,2.5,100,140
Eevee,60,5.0,2834,1,133,1,20,1.5,60,120
Electabuzz,70,6.16,9266,2,125,8,20,1.5,70,140
Piplup,60,0.46,5743,1,393,11,15,1.0,60,70
Pelipper,100,0.06,3305,2,279,11,50,3.0,120,200
Magikarp,30,0.15,2085,1,129,11,10,1.0,30,60
Victreebel,140,0.23,1847,2,71,7,50,2.0,140,280
Bronzong,90,0.47,5682,3,437,10,10,1.0,110,110
Clefable,90,0.64,6232,2,36,1,15,1.0,90,110
Raichu,90,5.5,6140,1,26,8,15,1.0,110,110
Walrein,150,0.37,3669,4,365,11,90,3.5,150,300
Pinsir,70,0.46,6686,1,127,7,15,1.0,70,140
Ampharos,120,1.1,4852,1,181,8,55,2.0,140,240
Braixen,90,0.13,2211,2,654,6,50,2.0,90,180
Zangoose,70,7.98,7553,1,335,1,20,2.0,70,140
Brock's Onix,70,3.95,8683,2,95,5,10,1.0,70,140
Hypno,70,0.9,6779,1,97,10,20,1.0,70,140
Arcanine,130,1.9,2666,2,59,6,125,3.5,130,260
Probopass,90,1.56,5774,3,476,5,60,3.0,90,110
Phanpy,50,0.47,6870,1,231,5,10,1.5,50,100
Tepig,70,0.29,3851,2,498,6,30,2.0,70,140
Hypno,90,5.59,8992,2,97,10,15,1.5,90,180
Grubbin,60,0.06,1483,1,736,7,10,1.0,60,120
Typhlosion δ,100,3.25,6413,1,157,10,60,3.0,100,200
Alcremie VMAX,310,2.15,1336,3,869,10,30,1.0,310,620
Ursaring,80,17.42,8392,3,217,1,30,3.0,110,160
Rayquaza,80,8.41,7051,1,384,1,20,2.0,80,160
Gyarados,130,1.05,4299,3,130,11,60,3.5,130,260
Kabutops,60,6.6,8992,1,141,5,35,3.0,60,120
Brock's Rhyhorn,60,6.2,8683,2,111,5,30,2.5,90,120
Larvesta,80,0.05,2421,3,636,6,30,2.0,80,160
Electabuzz,70,4.65,8855,2,125,8,20,1.5,70,140
Meowth,50,10.22,7540,1,52,1,15,1.5,50,100
Electabuzz,70,2.33,6870,1,125,8,40,3.0,70,140
Dhelmise,130,0.04,1287,3,781,7,40,2.0,130,260
Wigglytuff,80,16.38,9108,2,40,1,5,1.5,110,160
Regice,120,0.45,3207,3,378,11,50,2.5,120,240
Magby,50,1.45,7143,1,240,6,0,0.0,50,100
Ninetales,120,0.27,1567,1,38,6,50,1.5,120,240
Volcarona,120,0.08,2421,1,637,6,60,2.0,120,240
Salandit,70,0.03,2302,1,757,6,20,1.5,70,140
Cacnea,60,0.08,2120,1,331,7,10,1.0,60,120
Raichu,80,4.35,8280,1,26,8,30,2.5,80,160
Team Aqua's Cacnea,50,0.5,7388,1,331,7,5,1.0,50,100
Simisear,90,0.09,4572,2,514,6,50,2.0,90,180
Lapras,120,0.38,2085,2,131,11,45,2.0,120,240
Machoke,110,0.06,1336,3,67,5,40,2.0,110,220
Arcanine,100,3.5,9266,3,59,6,65,3.5,100,200
Lapras,80,6.28,8992,2,131,11,10,1.5,80,160
Rotom,60,0.64,5027,1,479,8,0,0.0,80,120
Spinda,60,0.57,6686,1,327,1,15,1.0,60,120
Meganium,130,1.35,5216,2,154,7,45,2.0,150,260
Blaziken,140,15.0,3571,2,257,6,25,1.0,140,280
Golduck,90,1.14,6048,1,55,11,30,1.5,90,110
Mantine,100,0.06,2850,1,226,11,45,1.5,120,200
Moltres,80,102.33,7682,2,146,6,35,2.5,110,160
Ekans,60,0.04,1735,1,23,10,10,1.0,60,120
Drapion,110,0.69,5682,3,452,2,30,1.6666666666666667,110,130
Reshiram,130,0.42,2421,3,643,6,75,2.5,130,260
Koga's Muk,80,8.45,8620,3,89,7,40,3.0,80,160
Misdreavus,60,6.61,7143,1,200,10,20,2.0,90,120
Pyroar,120,0.76,2211,2,668,6,80,3.0,120,240
Wailord,200,1.93,4299,4,321,11,55,2.5,200,400
Spiritomb,70,1.36,5774,2,442,10,0,0.0,90,70
Magikarp,30,0.09,2393,1,129,11,0,0.0,30,60
Pignite,90,0.14,4215,2,499,6,30,2.5,90,180
Ponyta,60,0.09,3013,1,77,6,15,1.5,60,120
Lanturn,80,0.75,6320,2,171,8,50,3.0,80,160
Tentacool,60,0.05,2575,1,72,11,10,1.0,60,120
Flareon,110,0.3,1665,2,136,6,90,3.0,110,220
Pelipper,90,0.57,5314,2,279,11,50,3.0,110,110
Shuppet,60,2.26,1735,1,353,10,15,1.5,80,120
Team Aqua's Poochyena,60,1.48,3347,1,261,2,10,1.0,80,120
Nidoqueen,110,28.5,7682,3,31,7,30,3.0,110,220
Blastoise,160,3.31,1938,3,9,11,150,3.0,160,320
Rotom,70,0.3,2943,1,479,8,0,0.0,90,140
Uxie,60,6.6,6140,1,480,10,10,1.0,60,80
Team Aqua's Carvanha,50,1.05,7388,1,318,11,20,2.0,50,100
Magneton,80,5.16,8992,2,82,8,60,3.0,80,160
Erika's Clefairy,50,5.72,8683,1,35,1,5,1.0,80,100
Lunatone,60,0.46,4950,1,337,5,40,1.5,60,120
Kangaskhan,90,3.55,8855,3,115,1,10,2.0,120,180
Feebas,30,0.07,4299,1,349,11,0,0.0,30,60
Slugma,80,0.08,1665,3,218,6,0,0.0,80,160
Emboar,150,1.0,4215,4,500,6,80,3.5,150,300
Latios,80,15.31,7540,3,381,1,20,2.0,80,160
Empoleon,130,0.57,5866,2,395,11,25,1.5,130,160
Tropius,110,0.17,2120,1,357,7,35,1.5,110,220
Magcargo,120,0.2,1665,3,219,6,40,1.0,120,240
M Houndoom-EX,210,7.0,3123,1,229,6,80,2.0,210,420
Treecko,40,1.9,7540,1,252,7,10,1.0,70,80
Quagsire,80,1.38,7143,2,195,11,20,1.0,80,160
Gyarados-GX,240,3.99,2393,4,130,11,57,2.6666666666666665,240,480
Piloswine,90,39.99,7682,3,221,11,30,3.5,90,180
Mawile,60,0.71,6597,1,303,9,10,1.0,90,120
Incineroar,160,0.5,2666,3,727,6,65,2.5,160,320
Mr. Mime,40,3.83,8855,1,122,10,10,2.0,40,80
Bisharp,90,0.26,3849,1,625,9,45,2.0,110,180
Darumaka,70,0.17,4777,2,554,6,10,1.0,70,140
Solgaleo-GX,250,1.56,2666,3,791,9,115,1.5,270,500
Jynx,70,0.33,6048,2,124,10,15,1.0,70,90
Tyranitar,120,191.99,7799,3,248,2,30,2.6666666666666665,150,240
Gastrodon,110,0.3,2850,2,423,11,40,2.0,110,220
Poliwhirl,80,0.53,3571,1,61,11,35,2.0,80,160
Reshiram,130,10.5,3851,2,643,6,70,2.5,130,260
Charizard VMAX,330,32.02,1378,3,6,6,200,4.0,330,660
Pansear,70,0.09,4649,1,513,6,10,1.0,70,140
Arbok,120,0.19,1735,2,24,10,50,3.0,120,240
Avalugg,130,0.08,3669,4,713,11,65,3.5,130,260
Dewgong,100,0.48,5391,3,87,11,50,3.0,100,120
Combusken,70,0.94,7486,1,256,6,25,2.5,70,140
Tropius,90,0.62,5027,2,357,7,20,1.5,110,180
Nosepass,60,0.81,7632,1,299,5,0,0.0,60,120
Armaldo,140,1.54,5774,2,348,5,60,3.0,140,170
Politoed,110,65.0,7682,2,186,11,33,2.6666666666666665,110,220
Golem,80,1.77,8035,4,76,5,80,4.0,80,160
Politoed,130,0.27,2575,1,186,11,50,1.5,130,260
Wurmple,60,0.07,2029,1,265,7,0,0.0,60,120
Ampharos-EX,170,4.83,3207,2,181,8,50,2.0,190,340
Entei,130,0.54,1665,2,244,6,65,2.5,130,260
Dewgong δ,80,1.19,6413,2,87,1,30,2.5,80,160
Magmar,80,0.05,3013,2,126,6,20,1.5,80,160
Lucario V,210,1.23,1336,2,448,5,110,2.0,210,420
Gligar δ,60,0.56,6413,1,207,8,5,0.5,60,120
Tynamo,30,0.08,3935,1,602,8,20,1.0,30,60
Unown [G],40,6.5,8120,1,201,10,10,1.0,40,80
Alolan Sandshrew,60,0.05,2302,1,27,11,10,0.0,60,120
Sandslash δ,80,2.35,6779,1,28,5,35,2.5,80,160
Fletchinder,70,0.18,3760,1,662,6,15,1.0,90,140
Poliwrath,140,0.83,3571,3,62,11,95,3.5,140,280
Poliwrath,110,77.5,7682,2,62,5,40,3.0,110,220
Dugtrio,80,1.12,7204,1,51,5,40,2.5,80,160
Giratina,100,0.87,5580,3,487,10,35,2.5,120,200
M Ampharos-EX,220,7.44,3207,3,181,8,120,4.0,240,440
Piloswine,100,0.04,2393,4,221,11,10,0.5,100,200
Primeape,90,0.3,5125,1,57,5,15,1.0,90,180
Kyurem-EX,180,3.65,3207,3,646,11,65,2.0,180,360
Latios δ,80,1.91,6597,2,381,11,30,2.5,110,160
Larvesta,80,0.12,4397,3,636,6,30,2.5,80,160
Pansear,70,0.03,2483,1,513,6,10,1.0,70,140
Heatmor,90,0.64,4572,2,631,6,15,1.0,90,180
Simisear,90,0.1,4777,1,514,6,30,2.0,90,180
Bronzong,90,0.44,5866,3,437,10,30,1.5,110,110
Kingler,90,1.26,5956,3,99,11,55,2.5,90,110
Chansey,90,2.45,7204,2,113,1,0,0.0,90,180
Heatmor,90,0.16,4124,2,631,6,25,1.5,90,180
Gastrodon East Sea,90,0.54,5486,1,423,11,20,1.0,110,120
Claydol,90,0.47,5391,1,344,10,15,1.0,90,110
Manectric-EX,170,2.58,3487,1,310,8,40,1.5,190,340
Typhlosion,100,52.17,8559,2,157,6,80,4.0,100,200
Persian,80,0.57,5216,1,53,1,15,1.0,80,160
Torkoal V,210,1.29,1567,4,324,6,105,3.5,210,420
Steelix,120,0.75,5125,4,208,9,60,3.5,140,240
Skarmory,80,0.77,5027,1,227,9,20,1.5,100,160
Pichu,50,3.02,5314,1,172,8,0,0.0,70,60
Espeon,80,3.07,7553,1,196,10,20,2.0,80,160
Crawdaunt G,80,1.15,5391,1,342,2,25,2.0,80,160
Ducklett,60,0.08,3935,1,580,11,0,0.0,80,120
Machamp,120,5.5,7921,2,68,5,50,4.0,120,240
Electrode,90,0.19,3305,1,101,8,45,2.0,110,180
Squirtle,60,0.87,4124,1,7,11,10,1.0,60,120
Darumaka,70,0.1,4777,2,554,6,10,1.0,70,140
Croconaw,90,0.22,2085,2,159,11,60,2.5,90,180
Torchic,60,0.06,3396,1,255,6,20,1.0,60,120
Tympole,60,0.1,4033,1,535,11,20,1.0,60,120
Alakazam-EX,160,4.21,2943,2,65,10,0,0.0,160,320
Applin,40,0.13,1483,1,840,7,10,2.0,40,80
Cloyster,70,1.38,7204,1,91,11,30,2.5,70,140
Larvesta,80,0.13,4572,2,636,6,30,2.0,80,160
Virizion,100,2.67,4649,1,640,7,65,2.5,120,200
Palkia-GX,180,3.05,2211,3,484,11,70,2.6666666666666665,180,360
Light Piloswine,90,8.59,8120,3,221,11,30,3.0,120,180
Machamp,170,0.23,1336,3,68,5,110,2.5,170,340
Bounsweet,60,0.08,1756,1,761,7,15,1.5,60,120
Dark Dugtrio,50,4.89,8795,2,51,5,20,2.0,80,100
Dhelmise,130,0.33,2120,3,781,7,80,2.5,130,260
Meganium,130,2.26,4852,2,154,7,45,2.0,150,260
Darmanitan,120,0.34,4777,2,555,6,45,2.5,120,240
Floatzel,90,0.99,6232,1,419,11,35,2.0,90,110
Mawile,60,0.59,6320,1,303,9,10,1.0,90,120
Team Aqua's Corphish,50,0.7,7388,1,341,11,15,1.5,50,100
Empoleon,130,0.82,5580,2,395,11,20,1.0,130,160
Froakie,50,0.12,2211,1,656,11,20,2.0,50,100
Turtonator,130,0.05,2302,4,776,6,55,2.5,130,260
Simipour,90,0.35,4488,1,516,11,15,1.0,90,180
Toxtricity V,210,3.0,1651,2,849,8,60,1.5,210,420
Kecleon,60,1.25,7553,1,352,1,20,2.0,60,120
Tropius,80,2.72,7051,1,357,7,20,2.0,80,160
Pansear,60,0.07,3123,1,513,6,10,1.0,60,120
Muk,70,5.9,8992,2,89,7,30,3.0,70,140
Flareon,90,6.08,5866,2,136,6,50,2.0,90,110
Mudkip,50,4.78,7540,1,258,11,10,1.5,50,100
Darmanitan,110,0.13,4215,2,555,6,40,2.0,110,220
Regigigas,120,3.81,5774,4,486,1,120,4.0,120,240
Dark Dragonite,70,13.69,8795,2,149,1,70,4.0,100,70
Granbull,90,0.85,4852,3,210,1,45,3.0,90,180
Golem,130,0.64,6048,4,76,5,40,2.0,150,160
Chimecho,60,1.59,7296,1,358,10,5,0.5,60,120
Fennekin,50,0.12,3760,1,653,6,20,1.0,50,100
Roserade,90,0.44,5125,1,407,7,20,2.0,90,180
Magcargo,110,1.33,3396,3,219,6,45,2.5,110,220
Sceptile-GX,230,3.27,2029,1,254,7,63,1.0,230,460
Torracat,90,0.2,2666,2,726,6,55,2.0,90,180
Carracosta,140,1.05,3935,4,565,11,65,3.5,140,280
Dodrio,70,1.14,6962,1,85,1,35,2.5,100,140
Lurantis,110,0.13,1756,1,754,7,25,0.5,110,220
Pawniard,60,0.38,3849,1,624,9,15,1.5,80,120
Lapras,90,0.21,4488,2,131,11,30,1.5,90,180
Psyduck,50,14.74,9093,1,54,11,5,0.5,50,100
Hitmonlee,60,0.73,6870,1,106,5,20,1.5,60,120
Torkoal,80,0.37,6686,2,324,6,15,1.0,80,160
Shiftry,110,0.4,7051,1,275,7,50,3.0,110,220
Donphan,80,0.72,7632,1,232,5,40,3.0,80,160
Larvesta,70,0.19,4572,2,636,6,20,1.0,70,140
Shellos,70,0.1,2850,2,422,11,10,1.0,70,140
Litten,60,0.06,2421,1,725,6,20,1.0,60,120
Wurmple,60,0.03,2029,1,265,7,10,1.0,60,120
Inkay,60,1.47,1735,1,686,10,0,0.0,60,120
Charizard V,220,6.47,1378,3,6,6,150,3.5,220,440
Orbeetle VMAX,310,1.28,1287,1,826,7,50,2.0,310,620
Delphox,140,1.56,3760,2,655,6,50,3.0,140,280
Inteleon V,200,1.12,1651,2,818,11,65,1.5,200,400
Kingler δ,80,1.87,6505,3,99,6,35,2.5,80,160
Porygon-Z G,80,0.29,5314,1,474,1,20,3.0,80,160
Charizard-EX,180,17.75,3876,3,6,6,60,2.0,180,360
Torkoal,80,0.53,5125,2,324,6,30,2.0,80,160
Machamp,130,0.92,4950,2,68,5,50,2.0,130,260
Tentacruel,110,0.14,2575,2,73,11,35,2.5,110,220
Feraligatr,160,0.75,2085,3,160,11,10,2.0,160,320
Lapras,80,1.58,5956,1,131,11,10,1.0,80,100
Milotic,110,3.32,4299,1,350,11,30,1.5,110,220
Bergmite,70,0.05,3669,2,712,11,15,1.5,70,140
Simisear,90,0.03,2483,1,514,6,40,1.5,90,180
Heatmor,100,0.09,3032,2,631,6,45,2.0,100,200
Psyduck,60,0.11,3032,1,54,11,20,2.0,60,120
Heatmor,110,0.08,1567,1,631,6,30,1.5,110,220
Wooper,70,0.32,2085,1,194,11,15,1.5,70,140
Grovyle,70,0.58,6962,1,253,7,25,2.0,100,140
Golduck,110,0.09,1938,1,55,11,55,2.0,110,220
Dodrio,70,1.51,7204,1,85,1,20,2.0,100,140
Torchic,50,2.38,7540,1,255,6,30,2.0,50,100
Larvesta,60,0.19,4397,1,636,6,10,2.0,60,120
Lt. Surge's Jolteon,70,10.98,8620,1,135,8,25,2.5,70,140
Magby,30,31.06,7921,1,240,6,0,0.0,30,30
Malamar,90,1.9,1735,2,687,10,60,3.0,90,180
Articuno,70,5.42,9093,1,144,11,20,3.0,100,70
Steenee,90,0.08,1756,2,762,7,45,2.5,90,180
Erika's Victreebel,80,6.73,8683,2,71,7,50,3.0,80,160
Pelipper,70,0.61,7632,1,279,11,17,1.6666666666666667,100,140
Incineroar-GX,250,1.55,2666,3,727,6,97,2.3333333333333335,250,500
Shinx,60,0.19,3669,1,403,8,15,1.0,80,120
Koffing,60,0.04,1735,1,109,10,20,1.0,60,120
Pidgeotto,60,4.35,8855,1,17,1,10,1.0,90,120
Latias,80,2.53,5956,1,380,1,45,2.0,100,100
Nidoqueen,130,0.8,4950,2,31,10,40,2.0,130,260
Dratini,50,1.17,7486,1,147,1,5,0.5,80,100
Hitmontop,70,0.84,6870,1,237,5,35,3.0,70,140
Dusknoir,120,1.01,5682,2,477,10,60,3.0,140,150
Heatmor,110,0.03,2483,2,631,6,30,1.5,110,220
Lunala-GX,250,1.8,2666,2,792,10,60,2.0,270,500
Torracat,90,0.07,2421,1,726,6,15,1.0,90,180
Magmortar,100,1.41,4950,2,467,6,30,1.5,100,200
Houndoom V,210,1.17,1378,1,229,6,60,2.0,210,420
Golduck,100,0.24,3032,1,55,11,45,2.0,100,200
Volcarona,110,1.66,4397,3,637,6,70,3.0,110,220
Zacian V,220,1.18,1651,2,888,9,230,3.0,250,440
Growlithe,80,0.11,1847,2,58,6,20,1.5,80,160
Chesnaught-EX,180,3.56,3876,4,652,7,80,3.5,180,360
Torkoal,110,0.07,1665,2,324,6,50,1.5,110,220
Salandit,70,0.09,1567,1,757,6,0,0.0,70,140
Tsareena,140,0.5,1756,2,763,7,90,3.0,140,280
Staryu,50,0.07,1938,1,120,11,10,1.0,50,100
Swinub,60,0.17,4124,2,220,11,20,2.0,60,120
Marshtomp,70,0.5,6505,1,259,11,25,2.0,70,140
Raichu,90,1.91,5314,1,26,8,45,2.0,110,110
Ariados,80,0.35,6140,1,168,7,20,2.0,80,100
Omastar,110,1.82,7553,2,139,11,15,1.0,110,220
Grubbin,60,0.25,1847,2,736,7,15,1.5,60,120
Hitmonchan,70,2.63,6870,1,107,5,30,2.5,70,140
Cinderace V,210,1.25,1651,2,815,6,140,3.0,210,420
Electrode,90,2.16,8035,1,101,8,20,2.5,90,180
Floatzel,90,0.34,3669,1,419,11,15,1.0,90,180
Porygon2,70,0.52,6779,1,233,1,30,2.0,70,140
Eldegoss V,180,1.22,1483,1,830,7,50,2.0,180,360
Camerupt,80,0.32,7486,2,323,6,35,2.5,80,160
Golisopod,130,0.38,1378,2,768,7,50,2.5,130,260
Voltorb,60,0.06,3305,1,100,8,30,1.0,80,120
Breloom,70,0.69,7632,1,286,7,30,2.5,70,140
Cacturne,110,0.17,2120,1,332,7,0,0.0,110,220
Charmeleon,80,3.25,9266,1,5,6,40,3.0,80,160
Glaceon,90,7.52,4033,2,471,11,60,3.0,90,180
Totodile,60,0.31,2085,1,158,11,5,0.5,60,120
Typhlosion,150,2.5,3123,3,157,6,105,2.0,150,300
Arbok δ,80,0.48,6413,1,24,6,25,1.5,80,160
Poliwag,60,0.12,3571,1,60,11,15,2.0,60,120
Articuno,120,3.85,4488,2,144,11,65,3.5,140,240
Braixen,80,0.17,3760,1,654,6,20,1.0,80,160
Dustox,120,0.93,6232,2,269,7,40,3.0,120,150
Electrode,70,0.17,6962,1,101,8,35,2.0,70,140
Psyduck,60,0.09,1938,2,54,11,10,1.0,60,120
Ekans,60,0.07,1735,1,23,10,30,2.0,60,120
Exeggutor,80,1.31,8035,3,103,7,10,0.5,80,160
Light Machamp,100,4.32,8120,2,68,5,50,3.0,100,200
Arcanine,130,0.2,2759,2,59,6,150,4.0,130,260
Salazzle,110,0.15,2302,1,758,6,30,1.0,110,220
Electrode,90,4.09,9108,1,101,8,20,2.5,90,180
Houndoom-EX,170,5.1,3123,2,229,6,25,1.0,170,340
Wobbuffet,80,2.12,6686,2,202,10,5,0.5,80,160
Huntail,80,0.89,7296,1,367,11,30,2.5,80,160
Moltres,70,4.39,9093,1,146,6,60,3.0,100,70
Magneton,70,1.28,6320,1,82,8,10,2.0,100,140
Golduck,70,0.78,7553,1,55,11,30,2.0,70,140
Rain Castform,70,1.1,6779,1,351,11,30,3.0,70,140
Cloyster δ,70,0.41,6413,1,91,5,10,1.0,70,140
Gastrodon West Sea,110,0.62,5486,3,423,5,37,2.3333333333333335,130,140
Team Magma's Poochyena,60,2.4,3347,1,261,2,10,1.0,80,120
Panpour,70,0.09,4488,1,515,11,30,2.0,70,140
Victini V,190,1.23,1567,2,494,6,15,1.0,190,380
Moltres,70,7.5,8992,2,146,6,40,2.0,100,70
Kyurem-EX,180,6.48,3935,3,646,11,90,3.0,180,360
Zarude V,210,0.82,1287,1,893,7,75,2.0,210,420
Swinub,60,0.06,2393,3,220,11,30,2.0,60,120
Skarmory,60,4.33,8280,2,227,9,15,2.0,90,120
Golem E4,110,0.54,5486,4,76,5,60,3.5,130,220
Slugma,70,0.09,2120,2,218,6,15,1.5,70,140
Skarmory,70,3.77,7051,1,227,9,5,1.0,100,140
Articuno-EX,170,10.59,4124,1,144,11,70,3.5,190,340
Mewtwo δ,70,5.24,6597,1,150,8,20,1.5,70,140
Zapdos,120,1.01,3305,2,145,8,70,2.0,140,240
Umbreon,80,637.5,7799,1,197,2,30,3.0,110,160
Darumaka,70,0.14,4215,2,554,6,30,2.0,70,140
Espeon,80,1.38,5866,1,196,10,60,3.0,80,100
Volcarona,110,1.14,4572,1,637,6,45,2.0,110,220
Loudred,70,0.67,6505,1,294,1,10,1.0,70,140
Ponyta,60,0.04,2759,1,77,6,25,2.0,60,120
Abomasnow,100,0.59,6140,3,460,7,60,3.0,100,130
Victreebel,90,15.16,7799,2,71,7,40,3.0,90,180
Nosepass,60,0.5,6597,1,299,5,15,1.5,60,120
Azelf,70,1.54,5774,1,482,10,20,1.0,70,90
Magmortar,110,1.47,6048,3,467,6,30,2.0,110,140
Quagsire,120,0.36,2085,2,195,11,60,3.0,120,240
Sabrina's Gengar,90,53.61,8620,2,94,10,30,2.5,120,90
Torchic,50,1.55,3396,1,255,6,10,0.5,50,100
Froakie,70,0.11,2211,1,656,11,15,1.5,70,140
Magmar,80,0.09,2759,2,126,6,45,2.5,80,160
Grumpig,80,1.2,6962,2,326,10,30,2.0,80,160
Delibird,90,0.03,2575,1,225,11,20,0.5,90,180
Anorith,70,0.28,6686,1,347,5,10,1.0,70,140
Reshiram-EX,180,8.9,3851,3,643,6,100,3.5,180,360
Vespiquen,100,1.21,5027,3,416,7,60,3.0,100,200
Incineroar,170,0.09,2421,2,727,6,115,2.5,170,340
Alolan Sandslash,110,16.67,2666,2,28,11,50,3.0,110,220
Tyranitar,140,3.85,5125,3,248,2,60,3.5,160,280
Pachirisu,70,0.48,3487,1,417,8,15,1.5,90,140
Sabrina's Golduck,70,6.8,8620,2,55,11,10,1.5,70,140
Raichu,90,4.96,8992,1,26,8,30,4.0,90,180
Salazzle,120,0.1,1567,1,758,6,70,1.5,120,240
Sealeo,80,0.09,4299,3,364,11,35,2.5,80,160
Oricorio,90,11.95,2666,1,741,10,15,0.5,110,180
Palpitoad,90,0.2,4033,2,536,11,25,2.5,90,180
Mew,50,174.5,7921,1,151,10,0,0.0,50,100
Dusknoir FB,90,0.75,5391,2,477,10,20,2.5,110,180
Piloswine,100,0.26,4124,3,221,11,30,3.0,100,200
Bastiodon,130,0.83,6140,3,411,9,60,3.0,150,170
Sudowoodo,100,2.21,1735,2,185,5,40,2.0,100,200
Politoed,130,0.42,3571,1,186,11,70,3.0,130,260
Latios,90,2.19,5956,2,381,1,65,2.5,110,110
Squirtle,60,1.81,4215,1,7,11,10,2.0,60,120
Vileplume,120,1.8,5027,2,45,7,50,3.0,120,240
Arcanine,140,4.07,1847,4,59,6,155,3.5,140,280
Donphan,70,2.04,8559,3,232,5,30,2.0,100,140
Magikarp,30,0.3,3851,1,129,11,10,1.0,30,60
Giratina,110,0.92,5580,2,487,10,55,2.5,130,140
Ursaring,100,0.53,5125,3,217,1,35,2.0,100,200
Wartortle,80,0.64,4215,2,8,11,30,1.5,80,160
Mamoswine,150,1.05,4124,4,473,11,70,3.5,150,300
Combusken,90,0.05,1378,1,256,6,30,2.0,90,180
Glaceon,90,2.2,3571,1,471,11,45,2.0,90,180
Chimecho,70,0.5,6140,1,358,10,10,0.5,70,90
Mewtwo,70,63.0,7921,2,150,10,10,1.5,70,140
Sharpedo,90,0.6,4950,1,319,2,35,2.0,90,180
Jynx,70,0.92,6870,1,124,11,0,0.0,70,140
Mudsdale,140,9.99,2666,4,750,5,120,3.5,140,280
